,Predictions,Actual
274,0.6064332,0.7373743
275,0.6740821,0.38139865
276,0.028428145,0.09661811
277,0.040911756,0.16781324
278,0.27850893,0.38139865
279,0.33550337,0.23900838
280,0.20043442,0.45259377
281,0.4573886,0.5237889
282,0.42045823,0.5237889
283,0.5368406,0.95095974
284,0.8919546,0.95095974
285,0.5255019,0.31020352
286,-0.17342912,-0.045772154
287,-0.006590419,0.31020352
288,0.5383808,0.7373743
289,0.6825822,0.87976456
290,0.5260948,0.80856943
291,0.2703645,0.95095974
292,0.8271559,0.95095974
293,0.19737908,-0.11696729
294,-0.17012519,-0.11696729
295,-0.000539504,-0.11696729
296,-0.06727564,-0.3305527
297,-0.012072908,0.09661811
298,0.18495986,0.09661811
299,0.093628876,0.23900838
300,0.18877135,0.38139865
301,0.31068128,0.23900838
302,0.20981741,0.16781324
303,0.19404323,0.025422977
304,0.3489438,0.09661811
305,0.108274296,0.31020352
306,0.11276828,0.16781324
307,0.071480304,0.31020352
308,0.23983899,0.23900838
309,0.13912468,0.23900838
310,0.32575575,0.31020352
311,0.20272163,0.16781324
312,0.11493468,0.16781324
313,-0.01289532,-0.3305527
314,-0.70470536,-0.90011376
315,-0.45993522,-0.6153332
316,-0.31375295,-0.18816242
317,-0.05176686,-0.25935757
318,-0.5202071,-0.9713089
319,-0.9925102,-0.82891864
320,-0.6082288,-0.7577235
321,-0.93668926,-0.6153332
322,-0.47486177,-0.6865284
323,-0.9409905,-0.5441381
324,-0.8511186,-1.1848943
325,-0.99961257,-1.8968456
326,-0.9998933,-2.4664068
327,-0.99999607,-2.3240163
328,-0.9999374,-1.8968456
329,-0.99998534,-2.0392358
330,-0.99981517,-2.0392358
331,-0.9999957,-1.9680408
332,-0.9999217,-1.3984797
333,-0.99995196,-0.9713089
334,-0.68140286,-0.18816242
335,-0.14574964,-0.5441381
336,-0.3149831,-0.25935757
337,-0.7979314,-1.2560894
338,-0.9999087,-1.2560894
339,-0.99910766,-0.7577235
340,-0.89780694,-1.2560894
341,-0.99991214,-0.9713089
342,-0.83617574,-0.40174782
343,-0.13044928,0.09661811
344,-0.42558235,-1.1848943
345,-0.999923,-1.8256505
346,-0.99987614,-1.1848943
347,-0.9594064,-0.6153332
348,-0.06369241,-0.11696729
349,-0.48602524,-0.6153332
350,-0.83974385,-1.1848943
351,-0.9997793,-0.90011376
352,-0.6905236,-1.0425041
353,-0.99566096,-0.9713089
354,-0.6574511,-0.6153332
355,-0.20340501,-0.40174782
356,-0.21722803,-0.40174782
357,-0.09365934,-0.18816242
358,-0.6510566,-0.5441381
359,-0.9996898,-1.1136992
360,-0.9994136,-1.3984797
361,-0.9999751,-1.1136992
362,-0.8775307,-1.2560894
363,-0.9997639,-1.3272846
364,-0.9920466,-1.2560894
365,-0.99964166,-0.25935757
366,-0.95576394,-1.3984797
367,-0.8938139,-1.7544553
368,-0.9999659,-1.54087
369,-0.9998878,-0.47294295
370,-0.6160176,-1.1848943
371,-0.9996793,-2.181626
372,-0.9998692,-1.54087
373,-0.99994445,-1.9680408
374,-0.9999052,-2.2528212
375,-0.99998784,-2.3952115
376,-0.99999857,-2.110431
377,-0.99989843,-1.3984797
378,-0.99951875,-1.9680408
379,-0.9999809,-2.110431
380,-0.99998915,-1.1848943
381,-0.99608374,-2.110431
382,-0.99998605,-2.8935776
383,-0.99996936,-2.4664068
384,-0.99999845,-2.608797
385,-0.9999728,-2.0392358
386,-0.99999666,-1.9680408
387,-0.99993014,-2.2528212
388,-0.9999982,-2.2528212
389,-0.9999707,-1.54087
390,-0.9999889,-1.3984797
391,-0.9777909,-1.1848943
392,-0.8378811,-0.82891864
393,-0.23485242,-1.0425041
394,-0.8031391,-0.6865284
395,-0.81204903,-1.2560894
396,-0.9811739,-1.6832602
397,-0.99850404,-1.8256505
398,-0.9999883,-1.4696748
399,-0.99536777,-0.9713089
400,-0.626472,-0.7577235
401,-0.2458741,-0.25935757
402,-0.18021904,-0.6153332
403,-0.86657256,-0.3305527
404,-0.913069,-1.2560894
405,-0.9996351,-1.0425041
406,-0.9989506,-0.82891864
407,-0.8886162,-2.110431
408,-0.9999937,-2.0392358
409,-0.9999511,-1.54087
410,-0.99998677,-1.8256505
411,-0.9985728,-1.54087
412,-0.999974,-1.1136992
413,-0.8419281,-0.18816242
414,-0.17462438,-0.18816242
415,-0.4131274,-0.47294295
416,-0.461427,-0.40174782
417,-0.4517917,-1.2560894
418,-0.99876595,-1.1136992
419,-0.99505097,-0.5441381
420,-0.5398217,-0.5441381
421,-0.7457555,-1.3984797
422,-0.9999124,-1.8256505
423,-0.99982303,-1.54087
424,-0.9999821,-1.1848943
425,-0.7910727,-0.40174782
426,-0.2614108,-0.25935757
427,-0.8531187,-1.6832602
428,-0.99993587,-2.608797
429,-0.999943,-2.608797
430,-0.999997,-1.54087
431,-0.995414,-1.9680408
432,-0.99997175,-2.608797
433,-0.999974,-2.608797
434,-0.9999987,-2.2528212
435,-0.99994576,-2.0392358
436,-0.9999964,-1.3272846
437,-0.9720532,-1.3272846
438,-0.99715084,-2.2528212
439,-0.99999404,-2.0392358
440,-0.9999565,-1.54087
441,-0.99998415,-1.3984797
442,-0.9676232,-1.3272846
443,-0.99675167,-0.9713089
444,-0.51696074,-0.9713089
445,-0.941949,-0.5441381
446,-0.5647528,-0.3305527
447,-0.07053315,-0.3305527
448,-0.21526815,-0.7577235
449,-0.9949745,-0.40174782
450,-0.006198342,-0.045772154
451,-0.38845074,0.025422977
452,-0.012025273,0.16781324
453,-0.23621699,-0.47294295
454,-0.99887574,-0.90011376
455,-0.042764954,-0.18816242
456,-0.21429285,-0.3305527
457,-0.05447737,0.025422977
458,-0.009453775,0.16781324
459,-0.02422768,-0.6153332
460,-0.7256363,-0.47294295
461,0.043612123,-0.3305527
462,-0.003186463,0.025422977
463,0.018064447,0.09661811
464,0.039734814,0.23900838
465,0.13684827,0.38139865
466,0.27143,0.38139865
467,0.31651917,0.38139865
468,0.28720495,-0.5441381
469,-0.6100715,-0.47294295
470,-0.16106367,0.31020352
471,0.5911137,0.5237889
472,0.31458223,0.23900838
473,0.41088954,0.59498405
474,0.007506354,-0.40174782
475,-0.5100918,-0.40174782
476,0.018718487,0.31020352
477,0.5702602,0.38139865
478,0.09069462,-0.25935757
479,-0.10064908,-0.11696729
480,0.23302968,0.23900838
