,Predictions,Actual
113,-0.15877886,-0.90011376
114,-0.88967437,-1.3272846
115,-0.9763664,-0.9713089
116,-0.766322,-0.6153332
117,-0.15831135,-0.11696729
118,-0.42201802,-0.3305527
119,-0.11980389,-0.18816242
120,-0.015275423,0.23900838
121,0.001924637,0.31020352
122,-0.26030672,0.16781324
123,0.07593771,0.5237889
124,-0.095279194,0.38139865
125,-0.03671286,0.45259377
126,0.034042794,1.0221548
127,0.4038372,0.6661792
128,0.033910345,0.09661811
129,-0.09974889,-0.3305527
130,-0.15887576,-0.40174782
131,0.018696757,-0.045772154
132,0.08195786,0.38139865
133,0.25110942,0.38139865
134,0.31560662,0.38139865
135,0.3026978,0.38139865
136,0.32568705,0.59498405
137,0.41385314,0.59498405
138,0.413435,0.38139865
139,0.33032393,0.38139865
140,0.41486603,0.87976456
141,0.545095,0.09661811
142,-0.2453417,-0.6865284
143,-0.341167,-0.47294295
144,0.20053272,-0.40174782
145,0.046947557,0.23900838
146,0.2208624,0.16781324
147,0.2507748,0.23900838
148,0.24622887,0.38139865
149,0.33985236,0.5237889
150,0.43368608,0.6661792
151,0.51266867,0.59498405
152,0.4551885,0.5237889
153,0.48159987,0.5237889
154,0.4821028,0.6661792
155,0.4841397,-0.045772154
156,-0.21849068,-0.18816242
157,0.099061355,0.38139865
158,0.42425144,0.5237889
159,0.41449842,0.7373743
160,0.5689497,0.80856943
161,0.61566806,0.6661792
162,0.5212013,0.87976456
163,0.7775055,0.87976456
164,0.58743435,0.87976456
165,0.6831934,0.87976456
166,0.845939,0.87976456
167,0.74434185,0.87976456
168,0.85555154,0.87976456
169,0.9127368,0.45259377
170,0.5166845,0.5237889
171,0.7355448,0.6661792
172,0.6703252,0.6661792
173,0.6872245,0.59498405
174,0.6197298,1.5205208
175,0.93368226,0.87976456
176,0.6809436,0.95095974
177,0.9873245,0.95095974
178,0.9741065,1.0221548
179,0.9982097,0.95095974
180,0.98557097,0.87976456
181,0.99842924,0.95095974
182,0.99918073,0.87976456
183,0.9837989,0.5237889
184,0.45851597,0.95095974
185,0.9981177,0.6661792
186,0.35856843,0.6661792
187,0.9397763,0.87976456
188,0.99405503,1.0933499
189,0.99913955,1.0933499
190,0.9990768,1.164545
191,0.9998745,1.0933499
192,0.99974257,1.0221548
193,0.9996829,0.95095974
194,0.9993081,0.80856943
195,0.9934987,0.80856943
196,0.9987931,0.95095974
197,0.99806017,1.0221548
198,0.99854666,1.0933499
199,0.99981135,1.0221548
200,0.99940336,0.95095974
201,0.99945265,0.87976456
202,0.99838626,1.0221548
203,0.99986947,1.164545
204,0.9997379,1.2357403
205,0.99978167,0.87976456
206,0.972851,0.95095974
207,0.9999393,0.80856943
208,0.2665393,0.31020352
209,0.31699693,0.5237889
210,0.8711353,0.95095974
211,0.98854893,1.164545
212,0.9990319,1.0933499
213,0.98880464,1.0933499
214,0.9997257,0.95095974
215,0.9986873,1.0933499
216,0.9998535,1.164545
217,0.999711,1.164545
218,0.999705,1.164545
219,0.9998714,1.164545
220,0.99978346,1.0933499
221,0.99964833,1.164545
222,0.99989665,0.80856943
223,0.53461975,0.59498405
224,0.9833524,0.87976456
225,0.9987753,0.87976456
226,0.9465174,1.0221548
227,0.99933904,1.2357403
228,0.9997354,1.3781306
229,0.99976975,1.3069354
230,0.99974185,1.3069354
231,0.9998677,1.3069354
232,0.9998392,1.3069354
233,0.9998394,1.164545
234,0.999741,0.87976456
235,0.9931162,0.95095974
236,0.99992967,1.2357403
237,0.9997732,1.4493257
238,0.9998172,1.3781306
